class,genus,species,synonyms,common_names,status
MAMMALIA,Abrocoma,boliviensis,,Bolivian chinchilla rat,CR
INSECTA,Acanthaeschna,victoria,,Thylacine darner,VU
INSECTA,Acanthagrion,taxaense,,,CR
INSECTA,Acanthomyops,latipes,,,VU
INSECTA,Acanthomyops,murphii,Acanthomyops murphyi  ,,VU
INSECTA,Acanthothericles,bicoloripes,,Morogoro pretty grasshopper,CR
INSECTA,Acanthoxia,aculeus,,Uluguru slender grasshopper,EN
AVES,Accipiter,brachyurus,,New britain sparrowhawk,VU
AVES,Accipiter,butleri,,Nicobar sparrowhawk,VU
AVES,Accipiter,gundlachi,Accipiter gundlachii gundlachii,Gundlach's hawk,EN
AVES,Accipiter,imitator,,Imitator goshawk,VU
AVES,Accipiter,luteoschistaceus,,Slaty-backed goshawk,VU
AVES,Accipiter,princeps,,New britain goshawk,VU
MAMMALIA,Acerodon,humilis,,Talaud fruit bat,EN
MAMMALIA,Acerodon,jubatus,Acerodon lucifer  ,Golden-capped fruit bat,EN
MAMMALIA,Acerodon,leucotis,,Palawan flying fox,VU
MAMMALIA,Acerodon,mackloti,,Sunda fruit bat,VU
AVES,Aceros,nipalensis,,Rufous-necked hornbill,VU
INSECTA,Aciagrion,fasciculare,,,EN
INSECTA,Acilacris,furcatus,,Mt. Coke false shieldback,CR
INSECTA,Acilacris,kristinae,,Kristin's false shieldback,CR
INSECTA,Acilius,duvergeri,,,VU
MAMMALIA,Acinonyx,jubatus,,"Cheetah, Hunting leopard",VU
INSECTA,Acizzia,veski,,Vesk's plant-louse,CR
INSECTA,Acrida,bara,,Usambara slant-faced grasshopper,VU
INSECTA,Acridoderes,uvarovi,Phyxacra uvarovi  ,Uvarov's bird grasshopper,VU
AVES,Acrobatornis,fonsecai,,Pink-legged graveteiro,VU
AVES,Acrocephalus,aequinoctialis,,"Kiritimati reed-warbler, Bokikokiko",EN
AVES,Acrocephalus,brevipennis,,Cape Verde warbler,EN
AVES,Acrocephalus,caffer,,Tahiti reed-warbler,EN
AVES,Acrocephalus,familiaris,,Millerbird,CR
AVES,Acrocephalus,griseldis,,Basra Reed-warbler,EN
AVES,Acrocephalus,luscinius,Acrocephalus luscinia luscinia,Nightingale Reed-warbler,CR
AVES,Acrocephalus,paludicola,,Aquatic Warbler,VU
AVES,Acrocephalus,rehsei,,Nauru Reed-warbler,VU
AVES,Acrocephalus,rimatarae,,Rimatara Reed-warbler,VU
AVES,Acrocephalus,sechellensis,Bebrornis sechellensis sechellensis,Seychelles Warbler,VU
AVES,Acrocephalus,sorghophilus,,Streaked Reed-warbler,EN
AVES,Acrocephalus,taiti,,Henderson reed-warbler,VU
AVES,Acrocephalus,tangorum,,Manchurian reed-warbler,VU
AVES,Acrocephalus,vaughani,,Pitcairn reed-warbler,EN
INSECTA,Acrodipsas,illidgei,,Illidge's ant-blue,EN
INSECTA,Acrolophitus,pulchellus,,Idaho point-headed grasshopper,VU
INSECTA,Acrostira,euphorbiae,,Palma stick grasshopper,CR
INSECTA,Acrostira,tenerifae,,Tenerife stick grasshopper,CR
INSECTA,Acrotylus,apicalis,,Usambara burrowing grasshopper,VU
INSECTA,Acteana,alazonica,,Tanzanian coast grasshopper,EN
AVES,Actenoides,bougainvillei,,Bougainville moustached kingfisher,EN
AVES,Actenoides,excelsus,,Guadalcanal moustached kingfisher,EN
AVES,Actenoides,hombroni,Halcyon hombroni hombroni,Blue-capped kingfisher,VU
AVES,Actenoides,regalis,,Plain-backed kingfisher,VU
MAMMALIA,Addax,nasomaculatus,,Addax,CR
AMPHIBIA,Adelophryne,baturitensis,,,VU
